holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date,time,traffic_volume
None,288.28,0,0,40,Clouds,scattered clouds,10/2/2012,9:00:00 AM,5545
None,289.36,0,0,75,Clouds,broken clouds,10/2/2012,10:00:00 AM,4516
None,289.58,0,0,90,Clouds,overcast clouds,10/2/2012,11:00:00 AM,4767
None,290.13,0,0,90,Clouds,overcast clouds,10/2/2012,12:00:00 PM,5026
None,291.14,0,0,75,Clouds,broken clouds,10/2/2012,1:00:00 PM,4918
None,291.72,0,0,1,Clear,sky is clear,10/2/2012,2:00:00 PM,5181
None,293.17,0,0,1,Clear,sky is clear,10/2/2012,3:00:00 PM,5584
None,293.86,0,0,1,Clear,sky is clear,10/2/2012,4:00:00 PM,6015
None,294.14,0,0,20,Clouds,few clouds,10/2/2012,5:00:00 PM,5791
None,293.1,0,0,20,Clouds,few clouds,10/2/2012,6:00:00 PM,4770
None,290.97,0,0,20,Clouds,few clouds,10/2/2012,7:00:00 PM,3539
None,289.38,0,0,1,Clear,sky is clear,10/2/2012,8:00:00 PM,2784
None,288.61,0,0,1,Clear,sky is clear,10/2/2012,9:00:00 PM,2361
None,287.16,0,0,1,Clear,sky is clear,10/2/2012,10:00:00 PM,1529
None,285.45,0,0,1,Clear,sky is clear,10/2/2012,11:00:00 PM,963
None,284.63,0,0,1,Clear,sky is clear,10/3/2012,12:00:00 AM,506
None,283.47,0,0,1,Clear,sky is clear,10/3/2012,1:00:00 AM,321
None,281.18,0,0,1,Clear,sky is clear,10/3/2012,2:00:00 AM,273
None,281.09,0,0,1,Clear,sky is clear,10/3/2012,3:00:00 AM,367
None,279.53,0,0,1,Clear,sky is clear,10/3/2012,4:00:00 AM,814
None,278.62,0,0,1,Clear,sky is clear,10/3/2012,5:00:00 AM,2718
None,278.23,0,0,1,Clear,sky is clear,10/3/2012,6:00:00 AM,5673
None,278.12,0,0,1,Clear,sky is clear,10/3/2012,8:00:00 AM,6511
None,282.48,0,0,1,Clear,sky is clear,10/3/2012,9:00:00 AM,5471
